ENA.genome.ID_scholz;Genomes.list;Genome.ID;Genome.Name;NCBI.Taxon.ID;Genome.Status;Strain;Host.Name;R_Phenotype;Phenotype;Completion.Date;BioProject.Accession;BioSample.Accession;Assembly.Accession;GenBank.Accessions;Sequencing.Centers;Contigs;Genome.Length;GC.Content;PATRIC.CDS;Comments;Additional.Metadata;Coarse.Consistency;Fine.Consistency;Genome.Quality.Flags;Genome.Quality;Date.Inserted;Date.Modified;Host.species_scholz;Common.name_scholz;Supergroup_scholz
GCA_000008025;GCA_000008025.1_ASM802v1_genomic;163164,29;Wolbachia endosymbiont of Drosophila melanogaster strain wMel;163164;;wMel;Fruit fly, Drosophila melanogaster;CI;R;2014-01-31T00:00:00Z;PRJNA272;SAMN02604000;GCA_000008025.1;AE017196;TIGR;1;;;1447;Wolbachia endosymbiont of Drosophila melanogaster. Wolbachia endosymbiont of Drosophila melanogaster, also known as Wolbachia pipentis strain wMel, naturally infects Drosophila melanogaster and is a member of supergroup A. The genome contains a large number of repetitive elements as well as proteins with ankyrin repeats that may be important in bacterium-host interactions. The chromosome also contains genes that encode a type IV secretion system.;;99,9;99,9;;;2018-05-24T22:27:08.985Z;2018-05-24T22:27:08.985Z;;;
GCA_000022285;GCA_000022285.1_ASM2228v1_genomic;66084,3;Wolbachia sp. wRi;66084;Complete;wRi;;CI;R;2009-03-24T00:00:00Z;PRJNA33273;SAMN02603205;GCA_000022285.1;CP001391;Dept. of Molecular Evolution, Evolutionary;1;1445873;35,2;1526;Wolbachia sp. wRi.This strain will be used for comparative genome analysis.;;99,8;99,6;;Good;2014-12-08T22:13:49.340Z;2015-03-16T03:17:09.594Z;;;
GCA_000073005;GCA_000073005.1_ASM7300v1_genomic;570417,4;Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip;570417;Complete;wPip;Mosquito, Culex quinquefasciatus;CI;R;2008-06-13T00:00:00Z;PRJNA30313;SAMEA1705930;GCA_000073005.1;AM999887;Wellcome Trust Sanger Institute;1;1482455;34,2;1500;Wolbachia endosymbiont of Culex quinquefasciatus Pel strain wPip.This bacterial endosymbiont was isolated from the preblastoderm embryos of the Pelstrain of Culex quinquefasciatus mosquitoes and will be used for comparative analysis with Wolbachia from other organisms. ;;99,3;99,2;;Good;2014-12-08T22:13:49.182Z;2015-03-16T03:17:09.594Z;;;
GCA_000156735;GCA_000156735.1_ASM15673v1_genomic;569881,3;Wolbachia endosymbiont of Culex quinquefasciatus JHB;569881;WGS;JHB;Mosquito, Culex quinquefasciatus;CI;R;2008-11-14T00:00:00Z;PRJNA32209;SAMN02471874;GCA_000156735.1;ABZA00000000;University of Maryland;16;1543661;34,2;1545;Wolbachia endosymbiont of Culex quinquefasciatus JHB. Culex quinquefasciatus Trace Archive reads (+mates) that aligned to other Wolbachia finished genomes were identified and assembled them using a WGA approach. ;;99,3;99;;Good;2014-12-08T22:13:49.173Z;2015-03-16T03:17:09.594Z;;;
GCA_000167475;GCA_000167475.1_ASM16747v1_genomic;307502,4;Wolbachia endosymbiont of Drosophila ananassae;307502;WGS;;Fruit fly, Drosophila ananassae;CI;R;2005-02-03T00:00:00Z;PRJNA13365;SAMN02435862;GCA_000167475.1;AAGB00000000;TIGR;464;1440750;35,7;1771;Wolbachia endosymbiont of Drosophila ananassae. This strain has a low CIQ (Cytoplasmic Incompatibility Quotient), which leads to a decreased egg mortality in the infected host strain. This sequence was pulled from a Drosophila ananassae genome sequencing project. Sequences represented as part of this project do not match any known Drosophila sequence. The wAna genome is at approximately 8X coverage and that 98% of the genome had been recovered. This is the first instance of the recovery of near-complete genomes of endosymbiotic organisms from a eukaryotic genome sequencing project.;;96,2;89,2;;Good;2014-12-08T22:13:49.200Z;2015-03-16T03:17:09.594Z;;;
GCA_000167495;GCA_000167495.1_ASM16749v1_genomic;77038,12;Wolbachia endosymbiont of Drosophila simulans;77038;WGS;;Drosophila simulans;CI;R;2005-02-03T00:00:00Z;PRJNA13364;SAMN02435892;GCF_000167495.1;AAGC01000000;TIGR;629;1063100;35,4;1566;"Wolbachia  endosymbiont of Drosophila simulans. This strain contains a bacteriophage which undergoes lateral transfers between Wolbachia in different insect hosts. This bacteria can form spore-like structures in Drosophila simulans but not in Drosophila melanogaster.  This sequence was pulled from a Drosophila simulans genome sequencing project. Sequences represented as part of this project do not match any known Drosophila sequence. The wSim was estimated at 2X coverage, with 65-80% of the genome. This is the first instance of the recovery of near-complete genomes of endosymbiotic organisms from a eukaryotic genome sequencing project.;low contig N50";;93,1;90,5;Low contig N50;Poor;2016-01-17T15:28:14.951Z;2016-01-17T15:28:14.951Z;;;
GCA_000204545;GCA_000204545.1_WVB_1.0_genomic;941258,4;Wolbachia endosymbiont wVitB of Nasonia vitripennis;941258;WGS;wVitB;Wasp, Nasonia vitripennis;CI;R;2011-04-17T00:00:00Z;PRJNA61407;SAMN02472067;GCA_000204545.1;AERW00000000;Vanderbilt University;523;1105410;33,98;1027;This strain will be used for comparative analysis.;;98,9;98,3;;Good;2014-12-08T22:13:49.304Z;2015-03-16T03:17:09.594Z;;;
GCA_000208785;GCA_000208785.1_ASM20878v1_genomic;263438,4;Wolbachia endosymbiont of Culex pipiens molestus strain wPip Mol;263438;WGS;wPip Mol;Mosquito, Culex pipiens;CI;R;2010-11-23T00:00:00Z;PRJEA52451;SAMEA2272196;GCA_000208785.1;CACK00000000;Wellcome Trust Sanger Institute;888;1479531;34,32;1302;This strain will be used for comparative analysis.;;99;98,2;;Good;2014-12-08T22:13:49.164Z;2015-03-16T03:17:09.594Z;;;
GCA_000242415;GCA_000242415.3_ASM24241v3_genomic;1116230,3;Wolbachia pipientis wAlbB;1116230;WGS;wAlbB;;CI;R;2011-12-14T00:00:00Z;PRJEA76855;SAMEA2272221;GCA_000242415.3;CAGB00000000;CEA/IG-Genoscope;165;1180214;33,73;1099;-;;99;98,9;;Good;2014-12-08T22:13:49.313Z;2015-03-16T03:17:09.594Z;;;
GCA_000333795;GCA_000333795.2_ASM33379v2_genomic;1261555,4;Wolbachia endosymbiont str. valsugana of Drosophila suzukii;1261555;WGS;valsugana;Fruit fly, Drosophila suzukii strain DS-VAL-F5;CI;R;2012-12-10T00:00:00Z;PRJEB596;SAMEA2271959;GCA_000333795.2;CAOU00000000;CRI-FEM;110;1415350;0,4;1500;Wolbachia pipientis is one of the most successful and abundant symbiotic bacterium in nature infecting more than 40% of all insect species. Here we report the draft genome of a novel Wolbachia stain named ??????????????wSuzi?????????????? that was retrieved from the genome sequencing of its host, the invasive pest Drosophila suzukii.;;99,4;99,2;;Good;2014-12-08T22:13:49.285Z;2015-03-16T03:17:09.594Z;;;
